task,topology,mas_prompt,sample_idx,gold,prediction,correct,label_mode,num_repeated_trajectories,num_correct_trajectories,matu_uncertainty
medqa,sequential,role,59,d,d,1,first,10,10,2.971605806652301
medqa,sequential,role,60,d,a,0,first,10,5,2.7777118649997536
medqa,sequential,role,61,d,d,1,first,10,10,2.6069907814525126
medqa,sequential,role,62,c,c,1,first,10,10,2.985925701704803
medqa,sequential,role,63,d,d,1,first,10,10,2.542735830009003
medqa,sequential,role,64,b,b,1,first,10,9,3.006209201790887
medqa,sequential,role,65,b,d,0,first,10,3,3.249230476196611
medqa,sequential,role,66,b,b,1,first,10,10,2.333714244823624
medqa,sequential,role,67,c,c,1,first,10,10,2.574771425130872
medqa,sequential,role,68,b,d,0,first,10,0,2.770175523636981
medqa,sequential,role,69,b,b,1,first,10,10,2.8528215635444276
medqa,sequential,role,70,c,c,1,first,10,10,2.5277410578483597
medqa,sequential,role,71,a,a,1,first,10,7,3.2774081176120875
medqa,sequential,role,72,c,c,1,first,10,10,2.7294449039751982
medqa,sequential,role,73,a,d,0,first,10,3,4.0032087100726965
medqa,sequential,role,74,a,d,0,first,10,0,3.343082970423575
medqa,sequential,role,75,b,b,1,first,10,9,2.7151719885335392
medqa,sequential,role,76,a,a,1,first,10,10,2.851392730064611
medqa,sequential,role,77,a,d,0,first,10,9,3.0426563052207345
medqa,sequential,role,78,c,c,1,first,10,10,2.764314797698095
medqa,sequential,role,79,a,a,1,first,10,10,2.678910639383576
medqa,sequential,role,80,a,d,0,first,10,0,3.148497488489648
medqa,sequential,role,81,c,a,0,first,10,2,3.99241929569548
medqa,sequential,role,82,c,c,1,first,10,10,2.4184548684127556
medqa,sequential,role,83,c,c,1,first,10,10,3.1475152847552454
medqa,sequential,role,84,c,d,0,first,10,0,2.6219309201750094
medqa,sequential,role,85,c,c,1,first,10,4,3.6064818301362855
medqa,sequential,role,86,b,b,1,first,10,9,2.9932956236139705
medqa,sequential,role,87,d,c,0,first,10,1,3.1858003725041777
medqa,sequential,role,88,a,a,1,first,10,10,2.5021452399028967
medqa,sequential,role,89,a,a,1,first,10,10,3.1980026936588044
medqa,sequential,role,90,a,a,1,first,10,10,2.605094948840532
medqa,sequential,role,91,b,b,1,first,10,4,3.0138438002539853
medqa,sequential,role,92,a,a,1,first,10,9,3.164491631311338
medqa,sequential,role,93,d,d,1,first,10,6,3.296980081233196
medqa,sequential,role,94,a,a,1,first,10,8,3.8011708507781443
medqa,sequential,role,95,c,c,1,first,10,10,2.4792162024407687
medqa,sequential,role,96,c,a,0,first,10,0,3.1119080617955284
medqa,sequential,role,97,a,a,1,first,10,10,2.9986480222092275
medqa,sequential,role,98,d,d,1,first,10,10,2.5409285111038
medqa,sequential,role,99,b,b,1,first,10,10,2.771804608201613
medqa,sequential,role,100,a,a,1,first,10,7,3.141638411146851
medqa,sequential,role,101,c,c,1,first,10,7,2.4919699419648316
medqa,sequential,role,102,b,b,1,first,10,10,2.8083704633851174
medqa,sequential,role,103,c,d,0,first,10,4,4.8531065178829484
medqa,sequential,role,104,c,c,1,first,10,10,2.647470632414323
medqa,sequential,role,105,b,b,1,first,10,10,2.435074157456678
medqa,sequential,role,106,c,d,0,first,10,0,2.527380455508987
medqa,sequential,role,107,c,c,1,first,10,1,3.738128972802171
medqa,sequential,role,108,d,d,1,first,10,10,2.6315131902601134
medqa,sequential,role,109,b,d,0,first,10,6,2.9640408821688236
medqa,sequential,role,110,b,b,1,first,10,10,3.87303862803076
medqa,sequential,role,111,a,a,1,first,10,10,2.5509192587887104
medqa,sequential,role,112,d,d,1,first,10,10,2.963319582245056
medqa,sequential,role,113,b,c,0,first,10,1,2.825642815404236
medqa,sequential,role,114,a,a,1,first,10,10,2.2162148078873063
medqa,sequential,role,115,c,c,1,first,10,10,2.4329258358256602
medqa,sequential,role,116,c,c,1,first,10,10,2.664095026969826
medqa,sequential,role,117,b,b,1,first,10,10,2.8000910646166517
medqa,sequential,role,118,b,b,1,first,10,6,4.266006251393512
medqa,sequential,role,119,b,b,1,first,10,7,3.024320693694938
medqa,sequential,role,120,c,c,1,first,10,10,2.953007648978475
medqa,sequential,role,121,d,d,1,first,10,9,3.0945982192912744
medqa,sequential,role,122,a,a,1,first,10,7,3.8283509022709636
medqa,sequential,role,123,c,c,1,first,10,10,2.6777813301638
medqa,sequential,role,124,a,a,1,first,10,5,3.1624425856606893
medqa,sequential,role,125,c,c,1,first,10,7,2.6576708568484215
medqa,sequential,role,126,a,a,1,first,10,10,3.1027666158490996
medqa,sequential,role,127,c,c,1,first,10,9,3.0064374293600142
medqa,sequential,role,128,a,a,1,first,10,10,2.4044871956627674
medqa,sequential,role,129,b,b,1,first,10,10,2.496376006342469
medqa,sequential,role,130,c,c,1,first,10,10,2.6357148970463227
medqa,sequential,role,131,a,c,0,first,10,1,3.376906542601084
medqa,sequential,role,132,d,d,1,first,10,10,2.7777119847492218
medqa,sequential,role,133,a,a,1,first,10,10,2.289429299355765
medqa,sequential,role,134,b,b,1,first,10,10,2.766441574912053
medqa,sequential,role,135,c,d,0,first,10,0,2.688237356961157
medqa,sequential,role,136,c,c,1,first,10,10,2.4869035897092484
medqa,sequential,role,137,b,a,0,first,10,0,2.7246385894613017
medqa,sequential,role,138,b,b,1,first,10,10,2.7482749710177745
medqa,sequential,role,139,a,a,1,first,10,10,2.191748972477324
medqa,sequential,role,140,c,c,1,first,10,8,2.9486581261307805
medqa,sequential,role,141,d,d,1,first,10,10,2.9353398907332258
medqa,sequential,role,142,b,d,0,first,10,5,2.560444003770953
medqa,sequential,role,143,b,b,1,first,10,10,1.862275291314745
medqa,sequential,role,144,a,d,0,first,10,0,3.0300850217703283
medqa,sequential,role,145,c,c,1,first,10,10,3.1285935284438953
medqa,sequential,role,146,c,c,1,first,10,10,2.635479838875736
medqa,sequential,role,147,b,b,1,first,10,6,3.1947985881116514
medqa,sequential,role,148,d,d,1,first,10,10,2.2403246663063343
medqa,sequential,role,149,a,a,1,first,10,10,2.5577290109852076
medqa,sequential,role,150,c,c,1,first,10,10,2.5799363359501797
medqa,sequential,role,151,a,a,1,first,10,10,2.3821964401566533
medqa,sequential,role,152,c,c,1,first,10,9,2.5826984682264817
medqa,sequential,role,153,b,b,1,first,10,10,4.109976414303628
medqa,sequential,role,154,b,b,1,first,10,10,2.689209864546638
medqa,sequential,role,155,a,a,1,first,10,10,2.9214191181709106
medqa,sequential,role,156,b,b,1,first,10,9,2.8419614507615325
medqa,sequential,role,157,b,b,1,first,10,10,2.7142279476818647
medqa,sequential,role,158,c,c,1,first,10,10,3.2481695976727427
medqa,sequential,role,159,d,b,0,first,10,0,2.8173979733801406
medqa,sequential,role,160,d,d,1,first,10,10,3.3981125272158565
medqa,sequential,role,161,d,d,1,first,10,10,2.702902101087188
medqa,sequential,role,162,d,d,1,first,10,10,3.0934152553741563
medqa,sequential,role,163,c,c,1,first,10,10,2.2284975385743153
medqa,sequential,role,164,c,c,1,first,10,10,2.7602730896942993
medqa,sequential,role,165,c,c,1,first,10,10,2.5161809629815752
medqa,sequential,role,166,a,a,1,first,10,10,2.458156617985574
medqa,sequential,role,167,b,b,1,first,10,10,3.195774900213305
medqa,sequential,role,168,c,c,1,first,10,10,2.8073274822127505
medqa,sequential,role,169,b,b,1,first,10,9,2.991820223317947
medqa,sequential,role,170,d,d,1,first,10,8,3.061009953699765
medqa,sequential,role,171,c,c,1,first,10,10,2.3726829893867247
medqa,sequential,role,172,a,a,1,first,10,7,3.554159968972436
medqa,sequential,role,173,c,c,1,first,10,9,3.104641054720073
medqa,sequential,role,174,c,c,1,first,10,10,2.656521574211691
medqa,sequential,role,175,a,a,1,first,10,10,2.628302417399105
medqa,sequential,role,176,a,a,1,first,10,8,3.137859535845816
medqa,sequential,role,177,b,b,1,first,10,8,3.3166859027656317
medqa,sequential,role,178,c,c,1,first,10,10,2.4333413337510414
medqa,sequential,role,179,c,c,1,first,10,10,3.0185946283140206
medqa,sequential,role,180,d,a,0,first,10,7,2.994884800093749
medqa,sequential,role,181,a,a,1,first,10,10,2.8292046833588946
medqa,sequential,role,182,d,d,1,first,10,9,2.9221647673042384
medqa,sequential,role,183,c,c,1,first,10,10,2.5497433577505095
medqa,sequential,role,184,c,d,0,first,10,1,2.661388767649405
medqa,sequential,role,185,a,a,1,first,10,9,3.499063140462022
medqa,sequential,role,186,c,c,1,first,10,6,3.4122645258079114
medqa,sequential,role,187,b,b,1,first,10,10,2.588007217455618
medqa,sequential,role,188,a,a,1,first,10,10,3.0444514241138303
medqa,sequential,role,189,d,d,1,first,10,10,2.759586453583895
medqa,sequential,role,190,a,a,1,first,10,10,2.6084118838956347
medqa,sequential,role,191,b,b,1,first,10,10,3.051382490342038
medqa,sequential,role,192,c,c,1,first,10,8,3.284123691202966
medqa,sequential,role,193,a,a,1,first,10,10,2.586106261232372
medqa,sequential,role,194,c,c,1,first,10,10,4.246701180992249
medqa,sequential,role,195,c,c,1,first,10,10,2.9439121716659566
medqa,sequential,role,196,a,b,0,first,10,3,4.280497098529742
medqa,sequential,role,197,a,b,0,first,10,4,2.6901182231345055
medqa,sequential,role,198,a,a,1,first,10,10,3.0375326255150386
medqa,sequential,role,199,a,a,1,first,10,10,2.494724609359043
medqa,sequential,role,200,b,b,1,first,10,10,2.9726574122045486
medqa,sequential,role,201,a,a,1,first,10,10,3.5215427076329178
medqa,sequential,role,202,a,a,1,first,10,10,2.9312333727241127
medqa,sequential,role,203,b,b,1,first,10,8,2.542077303943695
medqa,sequential,role,204,b,b,1,first,10,10,2.46885552536638
medqa,sequential,role,205,c,d,0,first,10,0,2.604423132336198
medqa,sequential,role,206,c,b,0,first,10,2,3.2704411119934993
medqa,sequential,role,207,d,b,0,first,10,2,3.7896358027531885
medqa,sequential,role,208,c,c,1,first,10,10,2.933005464607379
medqa,sequential,role,209,c,c,1,first,10,10,2.963367443957943
medqa,sequential,role,210,c,c,1,first,10,10,2.7521269560992065
medqa,sequential,role,211,a,d,0,first,10,0,3.0833848756822864
medqa,sequential,role,212,d,d,1,first,10,10,2.784165276105727
medqa,sequential,role,213,c,c,1,first,10,9,2.560334725880558
medqa,sequential,role,214,b,b,1,first,10,8,2.89675368520098
medqa,sequential,role,215,a,a,1,first,10,8,3.914910383045687
medqa,sequential,role,216,d,d,1,first,10,5,4.06781334053834
medqa,sequential,role,217,a,a,1,first,10,4,3.2816754906175003
medqa,sequential,role,218,b,b,1,first,10,10,2.929547960500538
medqa,sequential,role,219,d,d,1,first,10,10,2.9488778410744554
medqa,sequential,role,220,a,d,0,first,10,2,3.4355195876818807
medqa,sequential,role,221,b,c,0,first,10,0,3.276375102135129
medqa,sequential,role,222,c,c,1,first,10,10,2.2869605114016056
medqa,sequential,role,223,c,c,1,first,10,10,2.506689634361964
medqa,sequential,role,224,d,d,1,first,10,10,2.7838723491702138
medqa,sequential,role,225,c,c,1,first,10,10,2.644548196007463
medqa,sequential,role,226,a,a,1,first,10,10,2.4029329581099232
medqa,sequential,role,227,a,b,0,first,10,2,2.6499224120060383
medqa,sequential,role,228,a,a,1,first,10,10,2.461174718058631
medqa,sequential,role,229,a,a,1,first,10,9,2.88183132337958
medqa,sequential,role,230,a,a,1,first,10,10,2.832630387867596
medqa,sequential,role,231,c,c,1,first,10,10,2.8696754769868593
medqa,sequential,role,232,b,b,1,first,10,8,2.697317275828149
medqa,sequential,role,233,b,b,1,first,10,10,2.5173014330856818
medqa,sequential,role,234,d,d,1,first,10,10,2.439239171519044
medqa,sequential,role,235,d,a,0,first,10,0,3.205617569508283
medqa,sequential,role,236,a,a,1,first,10,10,2.614302728497589
medqa,sequential,role,237,a,b,0,first,10,1,3.741456065658668
medqa,sequential,role,238,c,c,1,first,10,10,2.9040380228685416
medqa,sequential,role,239,c,c,1,first,10,10,2.4439324442676242
medqa,sequential,role,240,a,a,1,first,10,10,2.3553939539100113
medqa,sequential,role,241,c,c,1,first,10,10,2.626015789444602
medqa,sequential,role,242,b,b,1,first,10,10,2.3624982268124426
medqa,sequential,role,243,c,c,1,first,10,10,3.0507929627989885
medqa,sequential,role,244,c,c,1,first,10,8,2.8433500750760365
medqa,sequential,role,245,a,a,1,first,10,1,3.7855272934876685
medqa,sequential,role,246,d,d,1,first,10,8,2.8836627730879387
medqa,sequential,role,247,c,b,0,first,10,3,3.158436264359765
medqa,sequential,role,248,c,c,1,first,10,10,2.9474816768015373
medqa,sequential,role,249,a,a,1,first,10,10,3.2013959357133444
medqa,sequential,role,250,d,d,1,first,10,3,3.17060455269391
medqa,sequential,role,251,b,b,1,first,10,5,2.77011092290575
medqa,sequential,role,252,d,d,1,first,10,10,2.5369836857240204
medqa,sequential,role,253,c,d,0,first,10,2,2.477255136260477
medqa,sequential,role,254,d,d,1,first,10,10,2.8034060920464983
medqa,sequential,role,255,c,c,1,first,10,8,2.995478935161599
medqa,sequential,role,256,c,c,1,first,10,10,2.3571678002569403
medqa,sequential,role,257,c,c,1,first,10,6,3.574676616451828
medqa,sequential,role,258,c,c,1,first,10,8,3.3924638676226797
medqa,sequential,role,259,b,b,1,first,10,10,2.836211803775843
medqa,sequential,role,260,c,d,0,first,10,0,3.277534116846114
medqa,sequential,role,261,b,b,1,first,10,10,2.7073679790266434
medqa,sequential,role,262,a,b,0,first,10,2,3.0648556181605575
medqa,sequential,role,263,d,b,0,first,10,1,3.2880644594568955
medqa,sequential,role,264,b,d,0,first,10,0,2.533766367344864
medqa,sequential,role,265,d,c,0,first,10,0,2.796036948694627
medqa,sequential,role,266,a,a,1,first,10,9,2.7337774401996078
medqa,sequential,role,267,a,a,1,first,10,10,2.622617349914253
medqa,sequential,role,268,c,c,1,first,10,10,2.77198586283908
medqa,sequential,role,269,d,a,0,first,10,3,4.377770272532988
medqa,sequential,role,270,a,a,1,first,10,10,2.8673650596051057
medqa,sequential,role,271,c,a,0,first,10,0,3.438527441323443
medqa,sequential,role,272,b,b,1,first,10,10,2.449981982519167
medqa,sequential,role,273,a,a,1,first,10,10,2.387010835677586
medqa,sequential,role,274,b,d,0,first,10,9,2.9022984066573736
medqa,sequential,role,275,b,a,0,first,10,8,3.2300574677482334
medqa,sequential,role,276,c,c,1,first,10,10,2.5781759634091417
medqa,sequential,role,277,b,b,1,first,10,10,2.4427002297585263
medqa,sequential,role,278,d,b,0,first,10,0,3.4255821093035594
medqa,sequential,role,279,a,a,1,first,10,3,3.7755080448082046
medqa,sequential,role,280,a,c,0,first,10,5,3.2329947120848233
medqa,sequential,role,281,a,a,1,first,10,10,2.1358305769243087
medqa,sequential,role,282,b,b,1,first,10,10,2.950509052287734
medqa,sequential,role,283,c,c,1,first,10,10,2.4102142511885285
medqa,sequential,role,284,b,c,0,first,10,0,2.815616355642737
medqa,sequential,role,285,d,d,1,first,10,10,2.7573498581771934
medqa,sequential,role,286,a,b,0,first,10,2,3.272609581068042
medqa,sequential,role,287,a,b,0,first,10,3,3.3399866459013063
medqa,sequential,role,288,c,c,1,first,10,10,2.2778751745384445
medqa,sequential,role,289,b,b,1,first,10,10,2.641248362692316
medqa,sequential,role,290,c,c,1,first,10,10,2.5378340124312677
medqa,sequential,role,291,a,a,1,first,10,10,2.74381049976818
medqa,sequential,role,292,a,a,1,first,10,10,2.7792186390446534
medqa,sequential,role,293,c,c,1,first,10,10,2.243032028997158
medqa,sequential,role,294,a,a,1,first,10,10,2.6657331465082
medqa,sequential,role,295,c,c,1,first,10,10,3.191079306530002
medqa,sequential,role,296,b,b,1,first,10,10,3.135136040785102
medqa,sequential,role,297,a,a,1,first,10,10,2.8100320220455504
medqa,sequential,role,298,c,c,1,first,10,10,2.6101241288772226
medqa,sequential,role,299,d,d,1,first,10,9,3.200873451895178
medqa,hierarchical,role,0,c,c,1,first,10,9,4.791597746564555
medqa,hierarchical,role,1,d,d,1,first,10,10,4.192398984363172
medqa,hierarchical,role,2,d,d,1,first,10,10,4.401689406697791
medqa,hierarchical,role,3,c,d,0,first,10,9,4.700545556885142
medqa,hierarchical,role,4,c,a,0,first,10,8,4.820034424513111
medqa,hierarchical,role,5,d,d,1,first,10,10,4.729384067211547
medqa,hierarchical,role,6,a,a,1,first,10,10,3.923706054648184
medqa,hierarchical,role,7,a,a,1,first,10,9,5.016937649771405
medqa,hierarchical,role,8,c,c,1,first,10,8,4.251808447535758
medqa,hierarchical,role,9,a,a,1,first,10,1,5.0509422819703405
medqa,hierarchical,role,10,b,b,1,first,10,10,4.429272444813213
medqa,hierarchical,role,11,d,d,1,first,10,9,4.24627564370336
medqa,hierarchical,role,12,d,d,1,first,10,10,3.535423829421902
medqa,hierarchical,role,13,a,a,1,first,10,9,4.370586444237148
medqa,hierarchical,role,14,a,a,1,first,10,9,3.7121555823643604
medqa,hierarchical,role,15,c,c,1,first,10,10,3.9025561612407063
medqa,hierarchical,role,16,b,b,1,first,10,9,4.584667665107153
medqa,hierarchical,role,17,a,a,1,first,10,7,4.682144793518068
medqa,hierarchical,role,18,c,c,1,first,10,10,4.937331789845529
medqa,hierarchical,role,19,a,a,1,first,10,10,3.476442149384844
medqa,hierarchical,role,20,b,a,0,first,10,1,4.61907691277707
medqa,hierarchical,role,21,b,b,1,first,10,9,4.727246728486551
medqa,hierarchical,role,22,b,b,1,first,10,10,4.758320610627589
medqa,hierarchical,role,23,d,c,0,first,10,2,3.8178318707104846
medqa,hierarchical,role,24,b,d,0,first,10,0,4.829647426402765
medqa,hierarchical,role,25,d,d,1,first,10,10,4.597352086390487
medqa,hierarchical,role,26,a,a,1,first,10,4,3.3158639055412986
medqa,hierarchical,role,27,b,b,1,first,10,10,4.061510552996593
medqa,hierarchical,role,28,c,c,1,first,10,9,4.290396207212361
medqa,hierarchical,role,29,a,b,0,first,10,0,4.867767522383911
medqa,hierarchical,role,30,d,d,1,first,10,9,3.7308751190504084
medqa,hierarchical,role,31,b,a,0,first,10,9,4.073913015987605
medqa,hierarchical,role,32,d,d,1,first,10,10,2.879412268735102
medqa,hierarchical,role,33,c,a,0,first,10,8,4.859023586806061
medqa,hierarchical,role,34,a,a,1,first,10,10,4.7061608441289025
medqa,hierarchical,role,35,b,b,1,first,10,10,4.11432335606252
medqa,hierarchical,role,36,d,d,1,first,10,9,4.537071129141996
medqa,hierarchical,role,37,b,b,1,first,10,4,5.944467164800667
medqa,hierarchical,role,38,d,c,0,first,10,9,4.211228854342149
medqa,hierarchical,role,39,d,c,0,first,10,0,3.9863402007498716
medqa,hierarchical,role,40,a,d,0,first,10,0,6.473459225494607
medqa,hierarchical,role,41,d,b,0,first,10,1,4.616952752574967
medqa,hierarchical,role,42,c,c,1,first,10,10,4.846524267917186
medqa,hierarchical,role,43,c,c,1,first,10,10,4.771700524567687
medqa,hierarchical,role,44,a,a,1,first,10,10,3.874328624172496
medqa,hierarchical,role,45,d,d,1,first,10,10,4.70523162190864
medqa,hierarchical,role,46,d,d,1,first,10,4,5.534838112168512
medqa,hierarchical,role,47,a,a,1,first,10,8,4.764294509193256
medqa,hierarchical,role,48,c,c,1,first,10,9,4.06413912437375
medqa,hierarchical,role,49,a,a,1,first,10,10,3.825195097092299
medqa,hierarchical,role,50,c,c,1,first,10,9,3.646613349684597
medqa,hierarchical,role,51,c,c,1,first,10,10,4.3431422739556655
medqa,hierarchical,role,52,d,d,1,first,10,9,5.16728176452121
medqa,hierarchical,role,53,b,b,1,first,10,10,4.1143262578422775
medqa,hierarchical,role,54,b,d,0,first,10,5,4.6344918550306105
medqa,hierarchical,role,55,d,b,0,first,10,0,3.7297800690913543
medqa,hierarchical,role,56,d,d,1,first,10,7,4.909069197783078
medqa,hierarchical,role,57,c,c,1,first,10,10,4.415197917370441
medqa,hierarchical,role,58,a,a,1,first,10,10,4.301836431396773
medqa,hierarchical,role,59,d,d,1,first,10,10,4.329242577111108
medqa,hierarchical,role,60,d,d,1,first,10,9,4.484514638995956
medqa,hierarchical,role,61,d,d,1,first,10,10,3.904299585930705
medqa,hierarchical,role,62,c,c,1,first,10,10,3.586854214747929
medqa,hierarchical,role,63,d,d,1,first,10,10,3.624595951129479
medqa,hierarchical,role,64,b,b,1,first,10,10,4.837391244913595
medqa,hierarchical,role,65,b,d,0,first,10,0,4.793050562664219
medqa,hierarchical,role,66,b,b,1,first,10,10,4.207951752785044
medqa,hierarchical,role,67,c,c,1,first,10,9,4.536598473866224
medqa,hierarchical,role,68,b,d,0,first,10,0,4.79122323705489
medqa,hierarchical,role,69,b,b,1,first,10,8,5.054158620389113
medqa,hierarchical,role,70,c,c,1,first,10,10,3.5678620825415397
medqa,hierarchical,role,71,a,a,1,first,10,6,5.099883388807834
medqa,hierarchical,role,72,c,c,1,first,10,10,4.0313179485639
medqa,hierarchical,role,73,a,a,1,first,10,7,5.788861114919362
medqa,hierarchical,role,74,a,b,0,first,10,0,4.991065297486564
medqa,hierarchical,role,75,b,b,1,first,10,10,4.428157550258531
medqa,hierarchical,role,76,a,a,1,first,10,9,4.454617753595042
medqa,hierarchical,role,77,a,a,1,first,10,6,4.85746380297818
medqa,hierarchical,role,78,c,c,1,first,10,10,4.033478157807256
medqa,hierarchical,role,79,a,a,1,first,10,10,4.614062006537149
medqa,hierarchical,role,80,a,d,0,first,10,0,4.663242575111626
medqa,hierarchical,role,81,c,c,1,first,10,7,5.245341040407457
medqa,hierarchical,role,82,c,c,1,first,10,10,4.5053008494755105
medqa,hierarchical,role,83,c,c,1,first,10,10,5.0955013051191305
medqa,hierarchical,role,84,c,d,0,first,10,0,3.744137680278401
medqa,hierarchical,role,85,c,a,0,first,10,0,4.974779305748669
medqa,hierarchical,role,86,b,b,1,first,10,9,3.563564888707083
medqa,hierarchical,role,87,d,c,0,first,10,0,3.8231571561303417
medqa,hierarchical,role,88,a,a,1,first,10,10,4.604979952384776
medqa,hierarchical,role,89,a,a,1,first,10,10,5.237077048981651
medqa,hierarchical,role,90,a,a,1,first,10,10,4.240757441094143
medqa,hierarchical,role,91,b,a,0,first,10,1,4.412249108754047
medqa,hierarchical,role,92,a,a,1,first,10,10,4.700483849356601
medqa,hierarchical,role,93,d,d,1,first,10,4,5.00956408412118
medqa,hierarchical,role,94,a,a,1,first,10,9,4.558535784799529
medqa,hierarchical,role,95,c,c,1,first,10,9,4.209628068740842
medqa,hierarchical,role,96,c,a,0,first,10,0,3.7596129010519457
medqa,hierarchical,role,97,a,a,1,first,10,10,4.029810927484094
medqa,hierarchical,role,98,d,d,1,first,10,9,4.371226502627857
medqa,hierarchical,role,99,b,b,1,first,10,10,4.175582956581885
medqa,hierarchical,role,100,a,a,1,first,10,10,4.62199303380582
medqa,hierarchical,role,101,c,c,1,first,10,7,3.9776662427556815
medqa,hierarchical,role,102,b,b,1,first,10,10,4.737020659885662
medqa,hierarchical,role,103,c,c,1,first,10,10,5.313533911270095
medqa,hierarchical,role,104,c,c,1,first,10,10,4.036038153109519
medqa,hierarchical,role,105,b,b,1,first,10,10,4.669354761834242
medqa,hierarchical,role,106,c,d,0,first,10,1,3.9516658186468083
medqa,hierarchical,role,107,c,a,0,first,10,0,5.618641416044703
medqa,hierarchical,role,108,d,d,1,first,10,10,3.9165355959112684
medqa,hierarchical,role,109,b,b,1,first,10,6,4.173638481910464
medqa,hierarchical,role,110,b,b,1,first,10,10,4.025848149129599
medqa,hierarchical,role,111,a,a,1,first,10,10,3.8753825423908848
medqa,hierarchical,role,112,d,d,1,first,10,10,4.18714559841079
medqa,hierarchical,role,113,b,c,0,first,10,2,5.115532721016927
medqa,hierarchical,role,114,a,a,1,first,10,10,3.4545794478994205
medqa,hierarchical,role,115,c,c,1,first,10,8,2.626100180091913
medqa,hierarchical,role,116,c,c,1,first,10,10,4.551049090275893
medqa,hierarchical,role,117,b,b,1,first,10,9,4.096662784783616
medqa,hierarchical,role,118,b,b,1,first,10,10,4.758696070605454
medqa,hierarchical,role,119,b,b,1,first,10,8,4.702731750799202
